scenario,playback_id,selected_visualizer_strategy,t_ms,input_energy,expanded_energy,final_speaking_energy,adaptive_gain
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,992.0,0.0,0.0,0.2655,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1008.0,0.0,0.0,0.2916,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1024.0,0.0,0.0,0.3169,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1040.0,0.0,0.0,0.3392,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1056.0,0.0,0.0,0.3565,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1072.0,0.0,0.0,0.3676,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1088.0,0.0,0.0,0.3722,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1104.0,0.0,0.0,0.3708,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1120.0,0.0,0.0,0.3647,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1136.0,0.0,0.0,0.3558,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1152.0,0.0,0.0,0.3459,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1168.0,0.0,0.0,0.337,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1184.0,0.0,0.0,0.3308,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1200.0,0.0,0.0,0.328,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1216.0,0.0,0.0,0.3288,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1232.0,0.0,0.0,0.3328,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1248.0,0.0,0.0,0.3385,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,1264.0,0.0,0.0,0.3443,0.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,0.0,0.1634,0.5715,0.5315,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,16.0,0.1705,0.6536,0.5791,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,32.0,0.176,0.6988,0.6053,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,48.0,0.1789,0.7199,0.6175,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,64.0,0.1786,0.7155,0.615,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,80.0,0.1752,0.6859,0.5978,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,96.0,0.1695,0.6343,0.5679,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,112.0,0.163,0.5692,0.5302,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,128.0,0.157,0.5002,0.4901,10.0
